resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":5108599,""resource_state"":1}",Morning Run,10360.5,3394,3419,75.4,Run,,3419137179,garmin_push_4901165425,3652445092,2020-05-08T13:48:37Z,2020-05-08T06:48:37Z,(GMT-08:00) America/Vancouver,-25200,"[49.26357,-123.132649]","[49.263547,-123.132632]",,,Canada,49.26357,-123.132649,0,2,0,2,0,"{""id"":""a3419137179"",""summary_polyline"":""sztkH`ppnVk@Bq@VgEk@y@Jg@ASVYDSj@UbBUp@aBtD_@^c@Ee@USeAo@yAcAk@c@_@CQb@eB@w@Hy@\\c@^[Tk@Di@Xe@dA}@Xm@B{@Su@Uk@[c@_@[gA]E}@?w@Ms@OYOu@LsB?iBOqBA{@H}FPw@Zk@x@y@HQLc@B{@AYMs@iAiCSqBOs@[k@c@a@]k@Is@Jw@Xg@b@UtASPUF}ECu@@qAIy@]g@uBM_@i@e@?g@WcA}@e@AMs@Sm@a@WSq@Qu@}@sBOw@Qc@_@c@Ua@Ky@s@yAQw@Is@Fu@Xi@Fs@[k@k@_De@oGm@kEiAuAMw@JoHFG|AJB{@EaA@w@CQcAs@EgDBoBA}@FeBc@{AAiBOcB]]qBJMvBNd@Hr@I`@c@Tw@Q[_@Os@e@OmAMmAFg@CQUEc@KKaAAc@JWh@?z@L`B?hCGz@AtB@pBMx@Uj@Ch@Bt@KjCJ`Bf@`@lAV`@b@Rl@Bx@`@T\\b@B`APp@b@ZVh@\\jAPV^X`@jADXpAdDRt@Lt@Bx@Av@Kz@Ev@N~CN`AM~DKt@m@pAUnAGz@F|@Rv@Jx@J^l@nA`@RR^RPd@BhAEf@B`@Nl@lArAtBXl@Hv@Ex@Uj@_AfAcCbEYl@Kb@H|@Lz@FrB^f@bBjB~AhCt@`AB|@Aj@Uv@]^e@tAy@lAyAjCKp@Rj@Cx@Sp@Yh@w@hA_@DQIg@v@]VObAQn@QEOBc@^i@NWXGZVr@Mr@k@v@U@OPI\\[f@`@h@It@Yl@KHo@@_@c@s@qAgAaAa@Sa@`@Sh@[b@?R]e@y@q@Om@CIG@TjBNZh@tCzAzG\\lB`@tAl@~Ch@lB|@zDzAfGLv@vChMx@xDTp@x@rAd@f@x@l@`BHz@NtBHrB\\~BNLCFOH}@R}@?{@KyA?w@Ha@Ba@VOb@Ch@i@d@G|ADd@LJ?BQEy@g@mBC}@BoBRwEZ{C?u@F{@?}@Ew@J{@Za@^U\\a@|Ae@`EOx@DXG\\c@HiAQ{ALw@JIv@NnAHhAKzATVo@Jy@GeBPo@"",""resource_state"":2}",,,,,everyone,,g5899930,,3652445092,3.053,5.4,89.9,1,152,175,,1,50.9,4.4,0,0,,41
2,"{""id"":5108599,""resource_state"":1}",Morning Run,21224.2,7169,7467,175.3,Run,,3413479613,garmin_push_4895861002,3646407699,2020-05-07T13:03:27Z,2020-05-07T06:03:27Z,(GMT-08:00) America/Vancouver,-25200,"[49.263293,-123.132503]","[49.263556,-123.13262]",,,Canada,49.263293,-123.132503,9,7,0,1,0,"{""id"":""a3413479613"",""summary_polyline"":""s{tkHzppnV}IOiAd@Ov@k@bBkA~BwA|Aq@M?m@E?q@dCwBxCqAbA}Av@aBMONkATc@`@YxA]ZYp@Dz@Wl@_@^Ot@Ht@ENYZmA\\aC~Ac@BaBc@]Hu@U_@_Ag@kBYe@c@A}A\\{@d@iATeAGmBpAmFlC}@`AY|@sB`Do@fDSfDE|AFr@Vp@^\\xD~An@lAFj@Q~GDrDk@nDWfDAx@PtBTf@b@\\lBd@zCbDfExDdAr@zAt@z@pAn@zC`@rDx@lD@z@GrCc@dFHXG\\w@dAGx@TbHUpDB~AEpD^dAPNhANLPNv@`AnCt@`D~@vCHt@n@~AdAnDXnBD|@CjBLrCKjDFt@?|Ds@`L@tB_AfQGjDk@|Kc@lFDz@EpB_@tCCz@FdFO|IxArHb@jAr@hENnBIzBm@`FGt@AdBMp@}@zB_D|LUj@y@t@yAx@Y\\Yt@W|A?rDg@`BExCo@rB{AtBu@`DEnBDx@v@nLC~@WlBFR@hBTfBZhFc@rKYbCoAfHe@hBoAdDo@bDMhDUlBBpFa@tG{BdRg@bBKt@k@xP_AxGeAjBSj@Iz@k@dL_@lGUzA[hH?z@Hx@hAjENvB?|@Kr@q@fAObARYNELJDZm@dCAv@FbAg@`FNpEA|BUjBi@|AIx@GzHj@bCBvAXhAGTTdB\\^zB`Ax@SPHvA|DbCnIb@|@bApA`DhC\\d@^xC\\dAj@h@hBp@Z`@Vh@\\fBd@tA|AjBbB`@hEEtAU?KSq@w@gA]}@sAqD_BmFkAyG_AqH?}@QsBE_DOgDDqDCi@TwGK}DDgFPmF`@oHFQXF`@IVmDDyBvBuOr@yD|AgGx@wD`B{Fr@_B~AoFnEiLbB}ErAsC?]Sm@Ps@tAsEjC_Gd@eBnAcDh@eB^aDN}EDuKGq@sBKEqEHwJRUlBJViDIaE@gCHw@VQJk@EiFMy@NkDKyDJu@By@Eu@HiACsDHkD?qNLoIFkSX_Fn@yGxAmNTeJ@y@IqAHw@CoGPQSCAkDF{@A{DFg@MkD?gHJqCAoD^kHSgAF_GF}@IgABuHX_C@{@MoFFqBGu@R}AH}IA_BQ{@Cw@NyOBy@XiAIeD?cIJmDE}@FeETo@j@Kr@Nt@IDu@DgBEkGTwFG_DRmCC}BY_DNaHOcH^eJGgBFoBBeLLyJI_FNiDAyNRqCAqDQyBBeDJkB"",""resource_state"":2}",,,,,everyone,,g5899930,,3646407699,2.961,4.8,89.2,1,154.3,180,,1,95.3,4.2,1,0,,104
2,"{""id"":5108599,""resource_state"":1}",Morning Run,10305.1,3351,3369,73.7,Run,,3408186625,garmin_push_4890850934,3640843529,2020-05-06T14:00:29Z,2020-05-06T07:00:29Z,(GMT-08:00) America/Vancouver,-25200,"[49.26287,-123.132912]","[49.263578,-123.132833]",,,Canada,49.26287,-123.132912,1,4,0,1,0,"{""id"":""a3408186625"",""summary_polyline"":""e{tkHtppnVm@BaBQsAAuBQo@JUXOr@Gv@g@fBo@xAQt@]`@}@Ie@MMk@]k@WkAkBs@KY\\qBC{@Hs@x@cANs@AaA`@]h@OPMJOPo@@WI}@GU_AiA]Sg@IMu@?_ACc@]eAGw@L{@@{@I{BIu@BaGCuALg@JSfAkAPa@Fo@?}@CWOu@u@yBOiBMu@[m@u@u@My@B}@Rm@`@YlAUV[HUF{@GuBF{@A}@G{@Um@]_@_AOe@Oa@Yc@Aa@Qc@W_@g@a@MGy@]_@UKWm@Qw@Uo@]k@Wo@Ia@o@yAe@oBMSg@wAMk@?y@Ru@@{@Sq@[kBK}AYoBOkCMw@MyAWg@o@q@Uk@Em@FyBC{@@}@Hg@zAJDG?KCoB?}@Yi@OCWc@CeG?}@D{@?o@Wk@Mw@AgAQwBSSsB?ShBXr@Jf@Ir@i@LkAI[e@Sq@cBIiBW]Y[c@oABWf@FnA?r@KtDGr@D~AEz@@v@Cz@Yj@Mt@CjBAvALlAVn@fARb@X^\\Nn@Hr@b@JRj@@x@Jd@h@p@Pp@n@|Ab@\\xAbEv@hBH\\VnBCz@SbBEz@@~@Hv@B|@EbDEz@[j@[hBA|@FdBJv@f@~Ap@j@Vl@TTnDDlAbCx@nAXn@Jf@@v@Uj@{AxBwAhCq@v@Kt@RjBLrBrCtDnBxCJr@A~@Qt@]f@O\\Sp@[b@[p@Sr@aAdAYj@Ft@Tr@A^k@zAWh@i@j@i@S_@b@c@ZUvAS\\GCc@Ve@XQT_@T@JZf@Lp@Gt@S\\e@Hc@Ua@VYh@^v@Ar@Wd@{AjA[n@WL[_@]Sm@TO?q@iAY_@a@[g@oA[a@Om@Fh@|@zCpCtNt@hCNrARt@Tl@n@dDpAhG|AbGhC`Mh@zAt@lAzApApADh@Pb@AnAXdCJd@NfBC~@Hf@Eh@F`CANIFg@DuABu@Ay@JuBIw@b@@@EUuBQw@G}@?{@HwBJ}@HsDL}@Rc@GwB?uBB{@\\g@d@O\\]lAc@t@e@jAQh@LhAHNFVE^]Hw@A}Bn@s@d@Cf@F`DN`@UPu@Jy@MeBHY"",""resource_state"":2}",,,,,everyone,,g5899930,,3640843529,3.075,6.5,90.5,1,181.3,201,,1,51.4,4.3,1,0,,155
2,"{""id"":5108599,""resource_state"":1}",Morning Yoga,113.2,2299,2299,0,Yoga,,3401644588,garmin_push_4885055898,3634338042,2020-05-05T12:41:03Z,2020-05-05T05:41:03Z,(GMT-08:00) America/Vancouver,-25200,,,,,Canada,,,0,1,0,1,0,"{""id"":""a3401644588"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,3634338042,0.049,0.6,58,1,80.2,124,,1,,,0,0,,3
2,"{""id"":5108599,""resource_state"":1}",Morning Run,21284.7,7212,7586,179,Run,0,3396707244,garmin_push_4880361840,3629156895,2020-05-04T12:42:02Z,2020-05-04T05:42:02Z,(GMT-08:00) America/Vancouver,-25200,"[49.263673,-123.132719]","[49.263334,-123.132026]",,,Canada,49.263673,-123.132719,6,8,4,1,0,"{""id"":""a3396707244"",""summary_polyline"":""s{tkHtppnVyIOe@@c@VO^QpBQr@gCtEa@@_@a@Cg@OK{ArCq@x@gBnCc@X}Ab@aACa@YKb@QNy@D[PUbAAr@_@b@Mv@@x@{@`A?t@Lr@c@XkAV}AfAqBd@}Aa@q@Lc@[u@}Dg@QgAVqBl@q@X_AKyBtAu@RsDnBm@l@mAfCw@jAWp@i@vC[bDAhBLx@Tn@bBhAbBt@r@lALv@I`FFbEy@zGMrBPjDLV`@\\nBd@`CpBpFlFdAh@jAf@x@hAPn@b@tCZ~Cz@fDJtA]pJOn@{@hAKv@ApBD~@GnBAbE?zG`@v@`@Pj@D`@XtDfM`@hBlAhDv@jDJnBKfXSlCWnHYjDQfFk@dMg@fHK`Fi@`J@pJI|@ArBzA~Hx@~Cx@~Ec@fDITOIBtAWlCCtBOv@aAvCs@bDeBdG}@fAcBhA[f@]jB?vCI|@S~@IxBKr@Qv@e@hA{AhBa@hBKz@AnBJrDn@vEBv@Ax@]nBAt@ZfEPfGE~EQlDYtBgAxEOhAc@jBo@dB]fBa@vGYhBC|@BtDStBMrDg@`FqAtHEz@i@nBMt@ShMq@bGa@nBSj@w@lASl@]dHg@lHKnDSpBi@hINv@`AjC\\jBEtEOrBc@bCClAUxA]pHFlHJj@XCNZDnBX|AGx@YrAFHb@HbBcA`CB~@m@rBoDRs@~AaCtBuGl@yAlBsC~@aAfCYpC?vA{NjAsIfAiG|C_MLu@h@iBlEiMnF_NlA}BRo@SaB`AqCnAgExFyN^aCTyC@aLFiBR{@Zg@AqLCqBOs@GqBHy@?}It@u@bFHb@EJ_@f@eGIqFFyBG]ZyDGiCSoBFYz@u@d@EpERvCGxRZBmQIaOPsEFaG?wEAwBNsFGcJPqH?qMFcCGkHF{@CWH_BCmHFy@@gIQs@sE@aLYyCDoEKe@HkDOMkDAcF[IFwBEgKJaFJw@@{@G}@ZwEEqB@mBNsBOsB@oBHoAW{@@iHBaBNoBVuBY{@BsAQoDHwBLu@?w@Qw@E{@@{DFyBE}@P{ICuENqBE{@f@sCKqB?y@QmBEoFRcCE{CXwBKiBF{@GeDNy@CoDXeFOcFQwAAyBFwBb@_BBy@Ec@Hy@?w@Wu@K{@BqDCmBX{CA{@^i@Ay@Iy@DcB^Mr@Jj@KtB?p@RhAFp@YtAMRc@VwBOmFRgA@w@OgD"",""resource_state"":2}",,,,,everyone,,g5899930,,3629156895,2.951,5.7,89,1,149.2,172,,1,93.3,5.3,1,0,,67
2,"{""id"":5108599,""resource_state"":1}",Morning Run,16175.8,5169,5222,89.4,Run,,3380150642,garmin_push_4864354715,3611699409,2020-05-01T13:18:19Z,2020-05-01T06:18:19Z,(GMT-08:00) America/Vancouver,-25200,"[49.263668,-123.132848]","[49.263616,-123.132766]",,,Canada,49.263668,-123.132848,11,3,1,1,0,"{""id"":""a3380150642"",""summary_polyline"":""mxtkHfwpnVDjCIpAEDsAT]PYZ_C]_HAsBb@{@`AiAbBMt@QjIFrAOl@?`Ee@LCLWRe@Js@GgBHcDQe@Da@TQv@Aj@Ot@F`AWbAMtD?x@M|@?|FCHsBG_BFgAO_@FwCuEYo@Qq@u@cF{@gFcAuEmBwHuA_HaAkDcC}L{@qCM{@Hs@Np@a@Vf@tBBp@O\\E|@|@`EALeBzAyAEc@Xk@bBq@fAiBbBmB`CcBzAsBzCkAR_@^yEpIa@`@kBt@kClBeCvAwApAa@Ve@J_NcBwC@oARc@Ra@VmBfCo@~Ay@nAKZ@`BWp@}@jAwBlFy@nAyArA}CpEkBvB]^e@TgE]oADkAd@cA~@Un@?t@j@~ABx@Kt@_AvC]`@g@Jc@IgAZcAr@kB|@_BtAa@z@KpB^jBBnDZz@y@tCgAbBc@\\kAFkA^qBPc@EaAb@g@QsBn@a@`@e@HYm@aAqCMi@Eu@Qs@Yg@aAm@iE}@_EC{ASkDB[PoAMkA[iFCwCZQUIw@^yA?a@Ku@We@]_@gBiAa@c@q@uAiAcE][u@OeARc@@o@Q?FxDId@P\\\\p@pAZpAfArCn@T^^~@jBLx@GlA@z@^Ln@AnAo@b@GnAEnBNdBf@^TvB[rBHvBd@xCJ|Dn@b@N~@fAVh@bAvCZfBVl@b@Hj@{@fBs@fAXd@Ud@DvD}@lAI`@Q`B_Bd@yBJwACw@[uCEsBBy@Pq@To@bAcAxF}Cd@Fd@K\\g@`@uARiBAu@_@{ACw@Rm@x@k@lBs@v@IjCNrA]jDkCt@aA`BkCnBkBbAeBt@uAZiBnAaCDiBFMv@mA\\[V}@Vg@d@_@dA}Ab@]b@Ub@G|DHdAXh@?dAZvBFpBf@jAIfAi@Zk@jCeBfA_@pC{BdAg@jA}BfDgFb@Sf@Eb@WlAyBpAwArAiArDgEfAkCbBIb@Yz@cAIu@i@eBJ{@u@_Co@wA@gAFALPzApDLt@Vj@hBlH\\fCvAzF\\nBzApGNhAbCjJl@dDhBfIPl@lAlBx@^l@LhEEjENjAOvBA`@MLq@nBLr@GFuDEkFDuBGy@WqBLyBTw@AaD\\eCEw@EqDDy@T_@~AiAfAa@d@?n@U^LlAc@vACV]CyBF[f@B^]d@GlDDnAi@Nm@GaADoA"",""resource_state"":2}",,,,,everyone,,g5899930,,3611699409,3.129,5.2,90.6,1,159.3,192,,1,50.7,4.8,2,0,,97
2,"{""id"":5108599,""resource_state"":1}",Morning Run,15548.6,5114,5182,100.4,Run,,3375387602,garmin_push_4859612735,3606695644,2020-04-30T13:15:14Z,2020-04-30T06:15:14Z,(GMT-08:00) America/Vancouver,-25200,"[49.263654,-123.132754]","[49.263544,-123.132855]",,,Canada,49.263654,-123.132754,0,1,0,1,0,"{""id"":""a3375387602"",""summary_polyline"":""yztkHxopnVqAXmHIc@Ba@ZiAjEgB`D_@\\e@IUa@Ea@E@[fAmA~BuAzBa@`@eC|@kAG[W[j@}@L]b@Or@Ix@]`@Kx@DVOn@a@\\Kr@Jl@Sl@iAVaB`AoC~@gAg@e@Dk@Oa@a@Mu@Gy@Qs@c@OkARc@Lc@\\iARqAE_CrAk@JwCdBeAx@aAxB{@hAe@lAOr@m@dFEz@Dx@Jz@Rp@bAp@nClA`@d@Nn@F|@@vBCz@Iz@@fDIz@WrAk@vF@z@VpB`Ax@jARd@VlEhEbAx@xAxAxB~@h@h@j@|@Pv@\\xBd@rEf@`BLr@ErDGx@MpDOv@g@f@Q|@A~AJ~CCfBKbAD`DSfD?f@\\`@dBh@l@`Bv@jAl@pC|@nCf@vChAzCZpATlBDt@AjBHbCMd@Cv@DrBCt@BjDKpCIx@EvBQtC?jAa@rEUpFAx@FdEYrBGxBQvBWpBMvB@|BFz@C|@Sx@EnBMrAExBQx@E|@Dz@BlFHp@pA`Gt@lCp@bEDx@q@rF[fDGxAMx@k@~AeAnEkBnGWj@]d@_@ZgA`@g@l@WrAEx@HtBIv@WbAKr@IxBKt@Up@[j@y@fAYl@i@fBKx@ArBJlAFrBJz@^jBJpA?v@Wp@OrA`@rFLbD@rBCdCYdFYnBc@jBk@zEg@fBeAlCSlBMf@Xu@^wBxA_Fn@_Fp@eDZwCPsB?uBUkFMmB[mB?y@XwBBmDGmBm@uDIqC\\sBh@kB\\k@fAgAZi@Rq@D}@EsBFw@Z{ADkDLs@Tq@Zg@^YhAc@b@_@Ze@xAyFl@{CpAaEDiAA{Ad@eD`@gE@y@w@qCG{@y@{CW_BAy@Qq@g@eAGu@AeHLu@CqD^sEA{@RiFRwBh@aJ^eMFuA^mDFmDn@aJI{A@c@CsD@yLB_AM}A{@iCDg@mB{Fi@qBu@yBc@mBG_AHyAY{@HqEHw@AcB]UgBEIO?oIDu@Xg@n@a@Zg@d@kAJk@KyNJcGJs@AiFDsBGsDHqACmB\\U@kBHg@hBCzBa@pHTrFD`DCjGTPo@KgFBqCB_@JQRGfA?jCRb@KdCHz@GJgAC_AL}AEeBHuAGgBFsBGwBF}@ReAHy@CqBBk@\\Y@u@YiM?w@H}@@y@MgDGs@KWVaCHsBDc@FEEsGIo@"",""resource_state"":2}",,,,,everyone,,g5899930,,3606695644,3.04,5,89.8,1,150.6,178,,1,50.7,5.3,0,0,,64
2,"{""id"":5108599,""resource_state"":1}",Morning Run,10347.7,3276,3298,75.9,Run,,3366100699,garmin_push_4850513587,3596984626,2020-04-28T14:01:15Z,2020-04-28T07:01:15Z,(GMT-08:00) America/Vancouver,-25200,"[49.263521,-123.132682]","[49.263632,-123.132616]",,,Canada,49.263521,-123.132682,1,4,0,1,0,"{""id"":""a3366100699"",""summary_polyline"":""sztkHzopnVe@TyCUgAAa@Gg@@e@JQNEv@?ZOz@s@lAYr@aBnB[Vc@?i@[A]o@_Ae@o@c@_@e@WMg@f@}AFsB|@y@L{@@s@HUzAiAVm@?mAMq@Ye@sA_B[m@Uq@Mq@_@qAPgFIy@Ey@McF?y@Hu@Vm@r@k@Xm@Hm@A_AE}@Mm@{@_CS_BMq@]i@a@]Wi@@}@Jo@\\k@fAWd@WVi@HsA@kEG}@Qq@a@[cBEa@YUw@EYy@ByA[c@HSq@E[[U[c@FmAIu@q@wAMs@Um@c@m@SiBmAmBSq@?a@Vo@Du@Ie@s@_F_@eDEiASoBG{@EO[e@a@a@Wg@Gw@Bu@EqDFu@DEbBA@y@C{@@}@EWm@IOs@@}@Ce@HiEAoBOu@]m@Ey@@w@Iy@Uo@kAOa@DCXUp@?b@Tt@B`@Av@Sn@e@RQQs@cC_@Si@B_@IeCCOESm@a@Ku@@c@PGt@DrBAxBOlBGrBD~AGv@Uj@Gx@KlDBx@Jv@b@VfALb@X\\^H^@v@d@PTf@Ft@Vr@\\l@`AjC^\\zB|F`@pARvBCv@Qr@?lBPn@EzBK`@CvCYvAYbAIv@J|@Vp@h@~CRt@Zh@Nf@pAHpA?b@Rp@nAj@v@v@nARl@@~@Wp@qBbDWr@cAhBQl@VpCEr@Lr@x@lAjB~Bp@lA\\`@Nn@@z@Az@y@nAWn@ONYj@u@~@Wj@Mz@Op@Zt@?x@eBnCa@\\e@U[b@YbBYf@SNa@Ss@j@[f@KRLdBAp@Kb@YHEAa@^e@XEHVbAUl@a@Va@d@Sr@e@v@[c@_@_@c@Ra@@SI{@cAIU}@eAg@aAOO[AMLCLMHTKHL?Hp@fDp@vBb@jB\\dBVpBdDhNtA~GvCrLJr@rB|J|A`BPd@ABx@ZtAF^GrBJxCd@f@@ZId@UXEf@@jAIpDL@eBA{@F}@f@w@Dy@G{@SeKHsBJy@?uBFoBNq@@OE}@GgELs@`@W`@M`@Yb@Gd@_@b@Id@Cz@FjAQlAC\\]J{@Cs@@u@j@ELw@f@Cj@Vt@K|B^Xi@D{@By@MqB"",""resource_state"":2}",,,,,everyone,,g5899930,,3596984626,3.159,6.4,91.5,1,156.7,181,,1,50.9,1.1,1,0,,59
2,"{""id"":5108599,""resource_state"":1}",Morning Run,15356.4,4986,5080,97.6,Run,,3361628543,garmin_push_4846021402,3592252543,2020-04-27T13:22:11Z,2020-04-27T06:22:11Z,(GMT-08:00) America/Vancouver,-25200,"[49.263264,-123.132515]","[49.263475,-123.132835]",,,Canada,49.263264,-123.132515,4,2,0,1,0,"{""id"":""a3361628543"",""summary_polyline"":""{ztkHtppnViAHmHKaA\\YrBSp@Un@iArBq@v@c@F_@KMKAQKKiAxCoBrCa@`@e@RuCf@c@Ue@NSRi@B_@VWn@?x@]d@Qn@Dp@Yd@_@XMr@Nr@@PEJQRe@Fa@PcAv@e@ViA\\c@Ay@o@}@Ve@W_@c@WeBWm@c@OoARiAd@yAZe@Ke@JwBtAc@DaEtBo@p@g@pAqAtBWj@i@rCa@dDArBJx@Vv@\\\\pCtAd@L\\`@Vr@D|AOhEBrDG|@]hBUlBOpBJnBPr@r@l@d@Vb@F~@h@tA`BdAbAz@f@p@r@bBpA`Bx@|AdBbA`G`@xCl@fCQxEChBKvAUz@u@~@Gv@BbFQfFBpDI|@?v@FTh@t@~AZb@lAt@nAVp@nAjF\\vBfA~C^pA`@|BFz@EhEFpDIxJBv@[vCE~Bq@|KS`H@nB]rDInBY|CKtBGfBD~BCv@_@dD?dDKrBQnB@zCEvAHx@fA|DfAxEl@jE@d@YpDa@nDEz@CxBMt@aAtBcB`HgAjDy@hAmBdAWh@WjAGz@DzAGz@a@hBGfCMr@Of@Yh@uAtBw@zCEv@N~FNxA^pBFt@ExAWhBVrB?bATnF?zBQnDKvDcBxK]rAm@`Ba@lBKlAKh@R|@^e@LyAAwBFw@p@yAf@eBd@oE\\cBh@_HQuLEk@Qw@QqBRqB?y@Jw@A}@MqCYuBGw@KwBH{@l@iD\\g@`A{@Xi@Pu@J{@B}@C}@Hs@`@oB?qB\\sBL[f@q@jBeA\\g@h@aBjBuHd@eBn@cBHy@?gBDw@`@eDXkDKy@@}@Sq@My@IeBu@aDm@eB_@_BQOGs@@e@C{@HuDHw@AoDB}@RwBVoGR}BN{FVeCRsDEaBVmBJoDRcDF{CZiFRoB?{@HkAE_HGy@DqHKwA_@eBkAwDL_AiAoCiAuDu@aDEq@HoDCyGLsACy@BwDEwBLyBDqBIwDBkGFwEEiFFqBBoFFs@G}@CuDTwRVmJPcDGaAFQ`@ZRBVO~@CvCJfCl@f@MvBX~@QdEADI@w@CoABqBG{@DqDE{@A_CF}@?{@HgBEwBRoBEoB@qBTyBZc@b@M`@_@nA_@hADr@_@^_@^KlAD^c@Ju@AkBJ]dC?|Bb@`@[NmADa@C{@B}@"",""resource_state"":2}",,,,,everyone,,g5899930,,3592252543,3.08,5.6,90.8,1,152.5,172,,1,52,5.3,2,0,,60
2,"{""id"":5108599,""resource_state"":1}",Evening Run,5430.2,1666,1678,48.7,Run,,3359398845,garmin_push_4843752731,3589872753,2020-04-27T01:04:53Z,2020-04-26T18:04:53Z,(GMT-08:00) America/Vancouver,-25200,"[49.263616,-123.132709]","[49.263495,-123.132339]",,,Canada,49.263616,-123.132709,1,3,0,1,0,"{""id"":""a3359398845"",""summary_polyline"":""c{tkHxppnVcAD]EaA@kCEaA@IFGPGxAGj@SZOB_@_@{BpE[d@YP_@GMKAW@MAGUc@e@}AWO_@KUKSm@ZkB@w@F{@~@iAJs@?m@BOdAy@\\c@Lc@A}@Oy@We@e@q@e@IKASk@?yAKs@]a@Qk@HgA?iDEm@DgFF{BHu@Vi@`@c@Zk@Fc@D{@Gy@i@eBWi@Ka@IyBMg@]i@a@]Q]I{@D{@Zi@jAWb@YTq@LcAIgDAkBQw@]UoAF[M[k@OC]HICa@{@]i@i@AUo@Yi@a@QWi@g@eB_@i@Um@Qs@u@uAKw@Sm@[g@So@I_BJe@Xo@As@[g@e@iBOuBUkBMwBSqBCwAPy@F_ALClAAf@H`AEZ^fAnCZn@z@`A^~ArAvBh@fAF?Rr@v@pBLf@t@~APt@PZl@l@d@PZ@`@Ub@Mh@J`@d@Xt@jAdELp@E@^[F@NXNv@?zCJj@LJrAQf@Oh@AdAGTDrBHd@Cf@GFJ@bAAz@FzELzANn@Bz@Ax@RpADtBFx@Sz@Yv@MbB?z@ZrBFx@EZEBUtAC~DGv@@`AElEKr@Cv@Gz@@b@Eb@At@Fz@H`@IxDYrBG`A"",""resource_state"":2}",,,,,everyone,,g5899930,,3589872753,3.259,6,90.7,1,160.8,188,,1,51.1,4.4,0,0,,34
