resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":5108599,""resource_state"":1}",Afternoon Walk,9017.8,6587,6610,57.1,Walk,3610733683,garmin_push_5085677441,3854648273,2020-06-13T23:32:50Z,2020-06-13T16:32:50Z,(GMT-08:00) America/Vancouver,-25200,"[49.263566,-123.132861]","[49.263254,-123.13243]",,,Canada,49.263566,-123.132861,0,1,0,1,0,"{""id"":""a3610733683"",""summary_polyline"":""sztkHdppnVWNe@DINI`@AXDfBOp@ElBEv@Ql@a@N]Ec@PWRFv@Er@GVHf@Bd@C\\Qz@IdBBtAL\\EnBHt@Dv@@v@Ez@Mv@Ef@CnAOr@Bv@Dz@C^Ax@@l@G\\FjBHtAKt@Ex@Bv@Cv@Dx@MRBtCFx@GfCEv@Bv@GdDSj@It@FrCA`IGfB@pBAv@Bv@EdDCJEB?DBfBCbCBvAEv@AfD?xCJr@Kh@KhDFv@Cx@B~AEt@CrCBb@En@CvABVAnBCv@BpBCnBEv@FpBIjB@x@Ax@AnDGdA@fEEpADbBKrGA`CHr@G`F@t@C`FBx@Ev@Ax@?|ECrB@pBBx@GfD?rBCf@Bv@Ev@BlBAx@?jDAnAIv@@f@ChA?x@Dx@Ex@@rBEv@Dx@CrEOrG@v@CvAOHmBBIe@CoFNcBLITGDFHFZGZ@`@QJq@Ci@Bc@DsF^SPCjA@PE?gBFw@Eu@Ay@B{@AeBJaCCoB@w@P}@Dq@@cAEu@DqA?w@Hm@Iu@Ay@Dy@@eBBwAEw@?{@@oBAw@DaCCy@Bu@Hw@?w@Cw@BsGCoAH{BB_BIiDRaD@cFA{@Eu@D{A?mDCWFiCDu@?uCDoBCy@@{CHqBGw@GgDDw@Fg@@kFDg@@sBGu@Ay@Fu@@w@Ay@DqBEiA?wA@w@JmBDa@Cy@@u@b@I`C@T@BADg@h@Br@ETFL?@CF}@Le@B]M{@Ee@H}AGu@?y@@C`@e@LCx@@TCd@DZC`@SIgBBsBEqBHiDCy@Fs@CkD?mBLkBCQBOIk@Ew@LcBA}@Hw@CYWc@E}@@qBCw@@w@LoBb@Mb@BDIUW[?AsBAg@B[GoBEWMqBIAF]Ni@I{@@w@Dw@Ay@Dy@@u@Dw@Gu@@i@E_@By@"",""resource_state"":2}",,,,,everyone,,g5899930,,3854648273,1.369,2.8,57.6,1,93.8,118,,1,53.1,12.4,0,0,,12
2,"{""id"":5108599,""resource_state"":1}",Afternoon Run,14466.4,6416,6861,132.2,Run,3605208974,garmin_push_5080354596,3848751774,2020-06-12T22:43:43Z,2020-06-12T15:43:43Z,(GMT-08:00) America/Vancouver,-25200,"[49.263865,-123.132918]","[49.258084,-123.228704]",,,Canada,49.263865,-123.132918,7,3,0,1,0,"{""id"":""a3605208974"",""summary_polyline"":""yztkHpppnVOSaEBm@J?`FDrBMjE?rFIbAHnD@rC@VTp@E`AuAz@sAZUNM`@mACcEm@qAHsBCa@NQrBGpBFpBK`@uDf@oACoAb@C|@DvBMpDJjBCnDiC^]XGz@Ex@NvBIz@?t@JrDKdCWhAEfFKnDMd@e@PmADUL@jHG|AMVSNKt@BxDGvPQt@s@hAk@JWzAExBLlCOvDBtBH|@GrB@t@Tj@JPf@H`@b@b@xA\\hBTr@f@bBf@hA~@nDhAzC\\pBNxBMjQ?xCO~B?vBIz@YpGSvBC~AMt@Gx@SxG?vBYrCS`DQfFOfBErBQpD?vDIv@E|GD~@`@hBXp@`AxDt@zDPp@Hz@e@hFe@`DGt@KvBOp@k@zAoBzIu@bCm@dAwAt@c@\\Yf@]lB?vBC|@_@`BApBOx@Op@Wj@aBdCm@hBIz@ArAR`Dz@~IOp@UrBHtACr@Pl@PhFAjGOvAKzBS|A_@lBI|@aAtEk@bBe@dBQzBa@tBEtDIj@K~A?jBQvBSjFQnBQp@MvBUt@a@hBSnBc@bBMjAKfHQlBOpCg@fEOt@Wl@}@hASn@a@dJAx@B|@EvBIz@@|@Gx@i@bDa@zEFz@z@xC\\jBHz@BvBMrBq@dDEx@_@jCIlDClGKtB_@lBEx@BpDKpDXnBExAFPCb@Th@DZ\\r@Nl@BZz@dB@PELt@fBHx@v@nA\\XZvA^NXb@TLd@DRXLFVIbAjBdAlA^\\d@NrAx@T\\J\\ThCPp@AHp@f@bBl@ZXh@dA`@hBTp@Zj@x@~@XXhBRdGe@Wy@e@o@Yo@e@yAu@uAOy@}@aDOcAYiAcAqGSuBSaEWsGAwBK{EB{EEuBBm@AmBDqBPoBAm@NiEDg@d@?Pe@XyDHI`@Nd@^b@Db@Gb@Mb@ShAGnAu@j@?h@LtAa@h@q@XQX_@rB{AV]Xq@jAoA`@QhBkAjAi@tA_CVSVa@~@e@lBqB`@U\\_@PiB`B_C`AeAP]Ns@v@iAJ[b@eBVk@^]Lm@HA`@YVg@`Au@h@_AXQd@Iz@TbCEl@g@h@SR`@Nn@h@l@r@@hAQhANb@G\\]b@AjBy@VSfAaBb@SAp@Nr@@`@^|AFp@H`BLt@p@|BLp@A^Yc@a@{A?w@{@iDSiBOq@Is@DA"",""resource_state"":2}",,,,,everyone,,g5899930,,3848751774,2.255,4.4,75.9,1,142,183,,1,98.9,5.9,1,0,,76
2,"{""id"":5108599,""resource_state"":1}",Morning Run,10381,3440,3477,70.3,Run,3593315357,garmin_push_5068576729,3836190280,2020-06-10T13:38:57Z,2020-06-10T06:38:57Z,(GMT-08:00) America/Vancouver,-25200,"[49.26328,-123.132601]","[49.263031,-123.132561]",,,Canada,49.26328,-123.132601,0,4,0,1,0,"{""id"":""a3593315357"",""summary_polyline"":""sztkHfppnV_ANgBMkBAg@Dc@OiATWV_@~A_AzCy@vA}@`AGAMk@CcAGYG?ONQUSk@_@[iAa@Ms@^cB?w@Fu@Vi@^c@Ro@?{@BMhAeA^g@Ns@A}@Um@]c@Q]}@ES[G_Cc@}@CMEa@PiABa@@aBIqAAaD?aCD{@\\eA^g@XIZU?eADc@A]Ks@}@kCY_DUo@}@cAQs@?{@Ts@`@[hA]Za@FUFw@CmCOyCWo@_@WoAB]e@iAQ[k@_@g@c@E]a@Ii@_@W[g@Ow@Ss@u@{AUs@Yk@[e@YgAYk@Ws@My@?_AHw@Rk@Aw@_@e@[iBS{BYoB?{@I}@a@iCYk@c@Y]_@IY?_ALuBAw@Gy@Lg@vAELICw@BwAEs@k@AWGD{FA{@HiCSu@[i@EyCKw@_@[wB?BnBLz@?x@[b@e@Pc@K[o@S{@kASuCGs@eA}ALMp@DxC@jFQjEUp@Mr@Bv@?v@Iz@?fBPp@b@Nd@Dd@N\\^Zf@Dj@b@VTb@Fn@@~@r@jAr@~Az@~@Pv@bC`GNt@Dx@E|@_@hDFt@Tn@@vGOr@Yj@Mr@QnBBfAVpBNv@JXb@R\\d@b@PnCEd@HfAdCb@h@j@~ABt@Mz@Wp@uAjBaAhB]r@Sl@?t@LlB@|@Pn@nArBzArB|@fALv@?v@E~@m@pAQt@_CjEYn@CJVp@Fr@Wl@uAdCa@P_@SqAdBOz@GTOKe@Z_@b@Yd@IP@PVn@HX@PWj@SRQ@_@Gc@p@G^Rp@?PYr@_@Zc@LcA|AM@_@c@c@Q_A~@GKMy@o@mA?Ge@s@YaAS]Km@E?EFFz@Pr@Zt@j@vDx@zD`@vB`AnEZjBv@pDbArD`@pBd@jBp@jDf@jB`@~B`A|DfAlChAtAt@n@x@RpD?b@Dt@Rj@FjCB~@RpAMjAH|@Q\\BFOCmAC}EFwBT}AHaCA}@YgAOw@NaBDwBF{@No@@qBFiACk@@[Js@b@e@b@Qz@k@`@c@~BEf@Kb@Uv@MXo@T}@B}@EMVENYf@Bd@Ph@B|AGz@\\LEF}@By@Es@B{B"",""resource_state"":2}",,,,,everyone,,g5899930,,3836190280,3.018,4.2,88.9,1,161.4,182,,1,51.7,5.7,0,0,,74
2,"{""id"":5108599,""resource_state"":1}",Morning Yoga,213.7,3483,3483,0,Yoga,3588600105,garmin_push_5063984362,3831230404,2020-06-09T13:53:18Z,2020-06-09T06:53:18Z,(GMT-08:00) America/Vancouver,-25200,,,,,Canada,,,0,0,0,1,0,"{""id"":""a3588600105"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,3831230404,0.061,1.1,58,1,90.7,129,,1,,,0,0,,6
2,"{""id"":5108599,""resource_state"":1}",Morning Yoga,152.1,2407,2407,0,Yoga,3582899525,garmin_push_5058478753,3825248369,2020-06-08T14:00:03Z,2020-06-08T07:00:03Z,(GMT-08:00) America/Vancouver,-25200,,,,,Canada,,,0,0,0,1,0,"{""id"":""a3582899525"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,3825248369,0.063,1.4,58,1,92.8,127,,1,,,0,0,,4
2,"{""id"":5108599,""resource_state"":1}",Morning Run,13004.3,6865,7012,422.7,Run,3580035838,garmin_push_5055559568,3822204491,2020-06-07T17:39:17Z,2020-06-07T10:39:17Z,(GMT-08:00) America/Vancouver,-25200,"[49.349821,-123.023448]","[49.349672,-123.023137]",,,Canada,49.349821,-123.023448,2,6,0,1,0,"{""id"":""a3580035838"",""summary_polyline"":""kselHp_{mV?eCSuACeADiAHc@h@NnAz@`A~@DCeAsAc@aBu@mA_Fy@kAHm@NcFjCSM_@LWVy@PSb@a@Xi@`Cg@TwC~BaAz@Sd@}@b@[j@oAr@k@v@oBvAcBrCm@XOp@UTEXMAcAn@BH[Z[Qe@D]f@Yx@kBp@_@d@BR]^kHfBkAKe@JgAl@yAnAe@Pk@`AoCzA}@t@}@jAg@~@cEzDmBbAmB`@iAj@eC|Bq@jAy@r@}CrA_B~@eATkAf@}CNmBOyA\\yCIuC\\wEhBWp@u@AiAb@e@?q@[a@o@]oA?UNYWg@T@FSMKGs@h@o@As@Iu@E^AQ[CMMTUBmAMe@I^i@gALm@@SGA_BLa@h@yBF]^OBu@r@M@oA[k@qAQUYEqAlASj@o@j@{@oA_@EWYa@Cq@P{@l@_@^]x@{@Fu@Kk@^kADEHKQg@UmBAk@LIa@eAi@i@NOG_@q@ICOe@OXe@Bs@[w@@m@^QIWH[l@w@g@k@Hk@Og@e@eB?gAkDcCgCo@|DC`C|AxNpBrIpA~DRz@lD`Hza@_XXa@bAa@`CSpBRr@Wb@RjAk@b@Er@j@hAMb@Ld@CZWfBZNX\\BHGAMO]Jo@C]La@Be@KWZOQMKa@JCFQ@m@Ty@e@UJ??\\EBIYU[Xa@LgAOSYDQP?PG?GUk@Ub@w@@WLDb@s@RCh@o@h@S`@a@Pk@CWR_@b@^l@c@hAVrBOp@YjANx@i@~@Hb@h@z@]fBYhAcAdA_@^?zA`@l@h@x@E~@u@p@Fp@Mf@c@\\EZa@LAf@Ct@f@`Bf@lACrAg@|@oANg@Do@Vm@^aCNwBj@wDRs@Xe@j@Cp@Z|@CjAc@lAKrB}BjAgArBSXa@ZQhAS^_@Vq@zAsBHs@n@kAP}@x@mAx@QHx@Op@@~@NhAHfBVP~@C\\x@mEvH_ApAuApAyArBUn@?t@LPtBF~Bq@zBUb@?hAb@~@LxCs@n@w@jAcCRu@b@YtAOfDsBh@k@zAiApB_ChBaBfAa@t@DnAc@jB}CtDcA`@[x@qA`@OrBGd@Sj@}@`@SVJ@~CGJ_ALeAd@GLvAg@p@GTf@?tA"",""resource_state"":2}",,,,,everyone,,g5570995,,3822204491,1.894,4.7,79.1,1,156.9,190,1,1,360.2,164.1,1,0,,108
2,"{""id"":5108599,""resource_state"":1}",Afternoon Walk,10151.1,7254,7254,101,Walk,3574698506,garmin_push_5050371771,3816578514,2020-06-06T20:48:12Z,2020-06-06T13:48:12Z,(GMT-08:00) America/Vancouver,-25200,"[49.258256,-123.206919]","[49.25815,-123.207382]",,,Canada,49.258256,-123.206919,4,2,0,1,0,"{""id"":""a3574698506"",""summary_polyline"":""awskHfz~nVDG@UJGF{BCwAQaBf@oB?y@NsBPAh@\\\\n@j@zCTv@d@|@BPx@nAL\\IzBTjAE^Tt@p@xAZd@`@ZfAV\\Vp@jAr@v@Tf@Br@L\\Hv@@p@Ot@IfA@n@|@Hr@U|@AVKFKViEZk@z@aAd@Oj@J`Aa@v@m@\\c@b@mAl@o@j@wAHc@v@gARi@~Ag@~@u@`@KfBy@x@aBFW\\c@pB}ALYb@qAHgCXg@p@w@b@C|@g@lAsBDUPYPMn@Sb@E|@y@t@XAz@N\\p@Nj@\\l@j@pAg@Vi@n@aAZiAT_@j@a@r@oAl@s@dA{AD_@@q@XeCIoBBw@FSG`@N\\fAWbBRd@SV]d@KfADf@q@fB]DUTQb@MlA@RShAOz@cAXOP@DUZLrAC|EHdBv@x@At@l@n@YF?@FKt@wAbGIvAyA|FM~Ag@`B]lCs@|COlBy@`CKv@BhAUZWtASh@B`Ag@`DOV]dACPDX@ZKt@m@bCIv@Sl@OdCUj@Cl@WpB[jAMlBFd@UrBGv@FdAGv@YlABt@C`@Op@?rBGtAQpAGv@Od@EpABXCrAK|@Wv@Gn@G`H[bAAhBShAE|@@d@Mp@g@|AGz@Ul@?v@KhAq@jBGx@Mr@e@zA@b@Ul@S|AY|@AZ_AIgAp@oAs@Uk@Yc@y@XaBo@c@My@JWOOJm@vAc@Tc@FkAQi@FOJy@T[@c@Ia@e@eAUq@]e@]m@i@q@]{@ISFUXg@Vw@Aw@]c@Gs@l@k@JeAI]`@Kz@a@r@Ov@[\\IVy@z@_@VaAo@_@Li@xA_@Ha@Ys@Y_@[cAMy@LWTeA`@a@Cu@W_@FOGc@D_@R_@nAk@x@i@Wm@m@OmCNm@?WKo@Mq@[a@OgAKKQAy@TYCa@Ve@Ba@T]hAWj@OFKPOfA[x@[NWj@[PU[Uw@Gy@Ic@E_CDw@EuB_@cDd@aDOsGDw@Lq@QuALs@Cy@Dw@G_EBmBAeB?w@Fy@CcFJwCK_AO}@JqBCyCBUBoAMoAA}@Hu@?y@^kEOmAU}@VsBAyCFo@CWFw@Ay@JmBEu@AmDOy@LsA@oABa@Em@A?FvCGdH"",""resource_state"":2}",,,,,everyone,,g5899930,,3816578514,1.399,4,58.8,1,108.3,154,,1,100.9,28.5,0,0,,18
2,"{""id"":5108599,""resource_state"":1}",Morning Run,12333.6,4046,4093,96.4,Run,3563269702,garmin_push_5039143798,3804515701,2020-06-04T13:38:25Z,2020-06-04T06:38:25Z,(GMT-08:00) America/Vancouver,-25200,"[49.263462,-123.132678]","[49.262942,-123.1324]",,,Canada,49.263462,-123.132678,0,5,0,1,0,"{""id"":""a3563269702"",""summary_polyline"":""yztkHpppnVs@JmAIg@De@AoAEc@@y@Ee@DQHUj@Ot@m@zAs@zA_ArAa@d@OF]SFsA]l@Sd@]b@g@|Aw@rAu@z@a@Tg@PeAZc@D_@][PQVe@VS?[HS^KVKr@]j@YRIb@Dz@ADUZKD[f@L`Bc@Va@PeA|@e@TcA\\c@B_AUg@SkA?c@_@YsBQ_@]]i@Dg@He@TIFe@Le@Ba@RkAAwBtAa@JkAr@_ClAc@^}@pBcAxAYj@Qp@Mz@g@pEGv@?b@D|@Nt@Td@RLlAd@hB`A`@h@Tr@Jr@ElBKz@CrABz@?|AI|@[pAOjAKx@KtA@rBHt@DN`@r@b@Xd@JT?NB^TbAbAd@^fAr@A@x@z@|CrCRLhAb@~@~@Zd@Nr@Z|BZfDJr@r@dC@XAzCGd@Ez@Bj@Cv@Gt@Mb@a@`@Wh@OjAE~AFt@?x@Cn@Bz@GpBD~BGvDNr@^Zb@Pb@ARLJTdApDTl@\\rAl@nB`@lBX`AbA`Cp@vCFv@FpECfB?jFCdIKt@Et@GnBOpDShDOjBUnEe@rKg@|JKx@QrGWnD@z@IrDBx@CpFDv@Z~AtA|FPv@Jx@p@zCAt@CZYdDMn@ZcBFyCG{@Is@e@_CIw@Mq@q@cDOc@s@aDCkGL_GVaEAo@Fu@LyDT}DDyBf@uGJoDRwBTmF@{@H}Br@oLAaBH{B?u@C}@@oFAi@DwDOmB_BoFQq@]gBi@_BYeAk@uAUo@SgAk@uB_@_@{@g@Wq@A{@F{A?y@FgC@uCCqED{@Tq@\\c@Xi@v@iBFu@ByAA}BCm@?s@@}@JsD?eCDy@AcADgFEcEZ_A@QF}EHyBDeBGuBBw@A{@AUEyBBOB}@D{@Ju@?w@JuA?wABa@d@Df@B|AQfAEh@gAP@tAZnABhAHh@ATBNJLQf@@HCrAAZ@@GJ@LEPs@AuDEw@AqBD{@VkCAWSeB@y@Hy@?}@Dm@B{CFu@DuELqBd@[d@K`@[b@S`@YjBULBf@ENIh@Gh@?AGHMDARa@XeCLi@~@Fr@Jd@Ed@AFDlAJFKRwBC}@Dy@"",""resource_state"":2}",,,,,everyone,,g5899930,,3804515701,3.048,4.3,88.8,1,154,177,,1,56.8,5.3,0,0,,56
2,"{""id"":5108599,""resource_state"":1}",Morning Yoga,36.8,924,924,0,Yoga,3563268598,garmin_push_5039142767,3804514611,2020-06-04T13:13:54Z,2020-06-04T06:13:54Z,(GMT-08:00) America/Vancouver,-25200,,,,,Canada,,,0,0,0,1,0,"{""id"":""a3563268598"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,3804514611,0.04,0.4,58,1,79.5,109,,1,,,0,0,,1
2,"{""id"":5108599,""resource_state"":1}",Evening Yoga,88.5,984,984,0,Yoga,3561281016,garmin_push_5037096235,3802433565,2020-06-04T03:35:42Z,2020-06-03T20:35:42Z,(GMT-08:00) America/Vancouver,-25200,,,,,Canada,,,0,0,0,1,0,"{""id"":""a3561281016"",""summary_polyline"":null,""resource_state"":2}",1,,,,everyone,,,,3802433565,0.09,0.7,58,1,80.3,112,,1,,,0,0,,1
