resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,average_temp,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
2,"{""id"":23132727,""resource_state"":1}",Easy Run,14028.9,3956,3956,54,Run,0,3763176338,garmin_push_5237846709,4020845369,2020-07-14T20:18:42Z,2020-07-14T16:18:42Z,(GMT-05:00) America/Toronto,-14400,"[43.210222,-79.598942]","[43.209999,-79.598297]",,,Canada,43.210222,-79.598942,4,3,0,1,0,"{""id"":""a3763176338"",""summary_polyline"":""{nvfGltydNy@`GUxBc@zCGbAm@zFe@`D_@jDw@rGg@lDBfAGh@EtAI`@e@vAQx@IBE`@GfCMzAOv@MrAe@tB@^PThGzApOdFhGzBzA\\~EvAt@ZpFbB\\DHGXqAJ]z@wBtLwVjD_H~@kAdCkCjB}BtByBh@u@n@q@|CsDbAwArCwCXq@`@yBn@}FRuBFSHu@Da@Bs@VsBBq@Hm@JkBP{ABaBJs@@wAZmHC}ATwFAm@Bo@L_AAu@R_BHoGFu@?]Dg@Aw@@i@JcAI{@?a@DMKy@Hg@Fw@?s@Di@Au@Ci@Pi@HaFXaDFiB?q@J_AD}@GoABcBJy@AcAH_B?{@Ho@BoADWHuD@{AFiBF}EFm@Ac@J_@H{A?}ALuBC{@@_@Fa@NyED}@Hm@DoB?QIk@EqAFqCMuE@i@Js@?i@Im@D}AFq@EoCNe@EaB@g@?eBM_BBc@Nu@T_@Vo@Ji@d@oDVcDb@yBLmALa@P{DGg@kAiCa@k@C[Tq@Zc@nBcE|@cCPw@Hi@AY@o@Tw@NcAXiAB_@AAiCu@sBs@kAe@e@Y_Aq@_@Mg@AwF{@_@KwB{@cAw@c@We@a@yAy@{AgAw@g@_Bw@c@_@o@[k@e@{@g@a@[cCwA}@y@[g@E?]BCFGvB?tACr@k@nFUhC@LHHnAj@d@X|AhAPb@?HUfA]bEObASz@M\\S?_@Q}@u@iAgAaAqA{A{AQUaFaFa@YaAc@w@g@OCOVUj@WdAwArEgArEg@lC[j@YbBEv@]jBQdBQ`A_@`Di@`DAh@FHfBd@R\\MnBWbCUdBCj@m@bDAf@B`@XxBR`CDt@QtA@x@dAbKEz@Bt@\\hALl@NzBJj@Z`@vB`AnAb@H^[fC]^i@CKBIHMb@HfBL~AXpBDLf@l@n@h@F`@Et@_@vC_@pBQvAB^VT^RjCj@`@RLPLd@En@e@xCc@xBU`BOn@QfAMjAWjBm@fDSvBQ|@[xBc@~BMhAm@rD}@zD}@`DSnAi@~Bm@lEK|@q@fEUdAUz@c@dAy@fAs@r@qAz@c@Pe@Hm@Gs@HgAd@k@d@]\\Yd@Sj@S~@Y~BC`@Cf@LfE@xBEpBElA"",""resource_state"":2}",,,,,everyone,,g3829394,,4020845369,3.546,4.3,82.9,34,1,142.1,152,,1,100.2,77.8,1,0,,22
2,"{""id"":23132727,""resource_state"":1}",Easy Run w/ Strides,12382.6,3529,3549,38,Run,0,3758167614,garmin_push_5232821669,4015219965,2020-07-13T21:08:58Z,2020-07-13T17:08:58Z,(GMT-05:00) America/Toronto,-14400,"[43.210208,-79.598468]","[43.210433,-79.600234]",,,Canada,43.210208,-79.598468,4,2,0,1,0,"{""id"":""a3758167614"",""summary_polyline"":""wnvfGlqydNBZCdAIdAIv@EhAQpBKt@IpAMp@m@fGYvBKb@MrAu@jGc@pCq@jF]hBi@xDA|@KjA@r@Gp@Id@K\\KhAQfAAZMx@Sj@Gb@@FNLxAXzDhAdFdBdDpAfAVxC|@fC~@`AZt@Xl@NnFpBvBn@d@Xx@VZNRN?F{@rHg@dD_@nBe@tDKp@i@|EWlAIx@cB~KQbCE`B?bEBz@Cx@Dv@AhB@r@AtADfAKjCC~BGtBH|@@fAs@xFSxBQpAe@vESxAQbDQfBQ`D?|@QvCIhEMpBOlABzBHj@?`@JrBDbCHjBDhDT~H?dAAp@aAfTGr@G\\IlAYx@Id@OtAMLqBIsBs@SK{Bo@}@[WOcAQyC{@cBo@eAY_Cu@_Bc@oC{@cEkAq@_@eA_@}Bm@_@O_Ck@uBk@oBs@uA_@{Ai@uBk@iAa@o@_@qBk@WUCS?UD]?y@H{@Ps@^wCNq@NmAPaAJ_A\\gB\\qC`@qBT_A^cBDg@Z{AA{@[_@k@a@SPGLMBqBo@q@Ik@Qo@]c@QgA_@]WF_AJm@?Sh@}DLu@PiBCEcAYs@Me@U_@_@IEq@Ma@OmADe@M}@_@mA_@_A]oCw@UKUUa@YeAWiC}@_@UBmAHw@^cCLsANw@RyAPw@Ta@`Ab@l@P~Ah@t@NNJb@PlA\\ZRh@Jb@PdD|@h@Vp@TFLDv@Zn@h@Tb@@^UXe@~@AdAHtDhAd@VfCx@hBb@n@XjARFCDM@s@Hs@`@oBVmCZaBLiAZuB~@wHXcBTgB|@uFL_APm@H}@H]TcC\\yBToBb@oCv@cGPs@\\mCLo@dAsId@uCfAcJzB}Oj@eDTaCbAsHjAwJRgAVsBNm@ZeDl@kDXoBJ_AP{@`@sCTyBZiEVo@DWD}APc@Jq@D_A"",""resource_state"":2}",,,,,everyone,,g3915267,,4015219965,3.509,5.7,83.7,33,1,141.8,164,,1,99.2,79.4,0,0,,19
2,"{""id"":23132727,""resource_state"":1}",Tempo Fartlek Run,17722.2,4860,4905,33,Run,3,3751308924,garmin_push_5225910429,4007484050,2020-07-12T12:31:07Z,2020-07-12T08:31:07Z,(GMT-05:00) America/Toronto,-14400,"[43.210181,-79.599441]","[43.210368,-79.598615]",,,Canada,43.210181,-79.599441,1,2,0,1,0,"{""id"":""a3751308924"",""summary_polyline"":""snvfGpwydNc@fCq@`GO|Bg@pCQ`Ca@tCS~@Gl@Kd@a@xCKPKl@u@pGEr@Qt@OhBgAtIShAgAnHWrCMr@Y~BOz@QrCo@bDK~@@XSrA]pAa@dEO~@Qn@SzBYdBWbC{@pFs@dFc@tDe@lCM`AGdAu@|C]rCc@nEaArGk@lCMzA[nBUnCOb@Op@OfAMv@GJy@rEGNE?oAk@qBm@[Sm@IwBm@e@]gD{@EI_@Su@SIICi@Ke@S_@[Sy@CON[tAAf@Pp@LTj@TLBl@YXa@Ha@JOXTPJzBv@j@Nt@FbAX`Ad@zBb@xB~@`ANP]HuAJy@r@sFf@yCH{@ZcCJg@z@iH`@mCd@gCRgBdBiL`AyHrAkIbAyHpBcNh@iFn@gEr@eGr@eFj@mDb@yDHiCRkAl@wFd@aDPwBXyBzAiJZyCb@wCDaACSUm@[IiAKoCaACOPaBZcCn@wANK|@EPUDq@TeBTaAJObC\\t@AHZEn@s@`Ek@tDc@nDYvDgAhIOtAw@xFm@xFw@xEMlAs@vF_@~B_@rDUnA[hCgBfMI~@?l@Ef@}ApKk@lD]~CwAvJMbASbAg@~Dw@tE_@rD{AzKOfAk@nCOxA_@|By@xHQdASp@q@tDaAhGOPqFoB}LmDYWM_AWg@i@]O?g@Na@h@Kp@Dt@Zt@\\Pp@@b@UZk@Nc@FAbBj@pIbCvE~Ah@LTSR{D~AuJZ_C\\yChAsHFu@VsAx@mFRsBTaAx@}Gj@}CfCsSbBaKjAiKbAyGtAuKj@yCdAyITwAtAgJL}Az@mFZwCXaBd@_EZiBFiAU]o@IeBk@MI_@o@cA_@MYF_A`@mCNc@p@oAx@SNOHW`@cDXKJSHAhAFjATT?FT@XUvA?d@m@|EYzAUpB_@tAEHMBwA]y@a@u@MiA_@AE?YT_CPoAv@aBLOx@ENMDk@VeAHo@^qAT?nB`@\\ANDHj@WzBw@fF]rCc@fCUPEA{B}@m@O}Ak@IMJu@DcAV}Ar@_B^Y`@CVMd@sCXmAV[`B`@bA@FL?`@_A|I]rB_@vD]P}Ag@WCm@]kA]a@UOM?WJc@b@gDJ[j@eA~@OTYb@}CNo@LYJMbBXjAFDN?n@Kr@Sp@YBOMCG@a@Lo@Cm@ECYCsAa@QJIPEb@Ql@C?AKF]Xq@AIVWjAJ`@HNLEZ"",""resource_state"":2}",,,,,everyone,,g5347210,,4007484050,3.647,6.5,84.3,31,1,155.3,180,,1,83.4,77.4,0,0,,89
2,"{""id"":23132727,""resource_state"":1}",Easy Run,19095.4,5229,5229,60,Run,0,3748207990,garmin_push_5222743582,4004035800,2020-07-11T21:29:12Z,2020-07-11T17:29:12Z,(GMT-05:00) America/Toronto,-14400,"[43.209993,-79.598695]","[43.210986,-79.598177]",,,Canada,43.209993,-79.598695,2,3,0,1,0,"{""id"":""a3748207990"",""summary_polyline"":""mmvfGzrydNYnBUvBY`B@XY`By@~FGhAk@pE_@zBgB|Mq@jEStBs@tEo@zFs@rEq@hGk@vDSx@]hCm@vEQvBIZAj@aAbIs@lEKbA_@nB[`CKfASt@u@`Gy@bFQjB_@|BKdAaArFGfAe@tD_@hBK~@{@xFUx@c@vCg@`CUrBSr@OnAIT_@GcKgDoDy@uAe@a@_@KaAUc@e@]_@?c@RIHQj@At@Fp@^f@`@Jn@Cp@y@P@dARfDbAp@Id@HlFhBpAv@d@FNAFMDyAT}Ap@}C^iDPcAJ}A\\iBp@mFl@cDDs@x@sFZiCFu@~AcKbBiM`@uBt@eG^sB`AsHLc@ZiCBw@Hu@hAqHHw@V_Bp@cGPw@f@cDdAsI\\{Bp@}Fz@oFx@sGx@gFZsD?QMa@s@q@cCm@iAc@AQh@}E|@cBfAWH]n@sEPQ|AVlABXRQ|Bu@`Gm@xDWnBOtBa@vBg@hE{@xF[nCSlAa@`EcBtLUbC_@zCg@hCe@xEc@bCkAtIObCWfBa@lBWbDi@vCU`CmA`JaCbOkAtJoAnHo@tF{AxKKn@S`@]fDWjAg@dBGt@UzAUn@SBcCs@eBs@qA]aBm@iBa@uC_A[WKw@Qm@YYMEc@?g@VS`@GVCZFr@Td@\\Vd@Jf@O^i@Rw@RClBt@pGrBjCdAh@DnBl@NYLmAp@cEl@gDH}@Py@t@kGdAiG`@iEt@_EZwB`@yET}@h@yDVeAZwB|A}LZqBJmAj@sDF{@ViAf@}C`@eE|@gGLqANs@ZgCRaATyBVkAf@aFl@wDp@gGbA_H|@sIr@eEZaCf@aDOiAEGcDk@kAc@IKAUDc@d@eEl@oA\\UV@TEBGd@sEF[JQPElABh@Vz@JJL@HG`Ak@|DOh@MnAg@dDKdCs@~GSv@Cr@UrBiBxLWlBMpB}AdKm@vFQz@It@Oj@e@fDMbBe@tCM`Bk@pDIt@?t@It@e@xCk@bDCl@{@jGmAdHWbCg@zD}@tFEU@o@Fq@tAyIf@mE^uBJoAl@wDZ_DReAPiBn@{Dh@sFXeBPeB|@uFBs@j@yC^aDl@uDDy@^wBBs@T_ARaCL{@`@gEFGTkBXkAl@kFdAeGFw@AQKo@Yc@yDeAi@YCOb@qE|@sBd@CXQRc@RmCb@oA"",""resource_state"":2}",,,,,everyone,,g3829394,,4004035800,3.652,5,85.1,31,1,153,167,,1,85.6,76,0,0,,89
2,"{""id"":23132727,""resource_state"":1}",Fartlek Run with a side of feels like 41,11329.7,3353,3356,20,Run,3,3738294213,garmin_push_5212916084,3992885433,2020-07-09T19:22:38Z,2020-07-09T15:22:38Z,(GMT-05:00) America/Toronto,-14400,"[43.210238,-79.599468]","[43.210741,-79.600577]",,,Canada,43.210238,-79.599468,0,5,1,1,0,"{""id"":""a3738294213"",""summary_polyline"":""}nvfGtwydNK`BWjACd@[zAk@fFMj@]xCA`@SbBWrAStBc@`DW`B]|CUv@Il@U~BAd@g@nEMp@c@|C_@xBYvCMr@OzBW`BYtAe@pESx@It@?n@Gt@Ov@W|B_@|Am@~EStAOn@qA~IIz@o@`Eo@nFGR{@lFMxAY~AY~BUrAUnBEn@]nBKx@Qh@UfBCx@DJvAj@FL?Lk@nD]vCQ`@QHo@OQG]]Eo@Ls@h@eEViBP_BHQNu@VsBT}ANq@@UHMPgAF{@\\oCLu@FQFa@JoAn@aF\\cBb@aE\\yARqAJgATmAb@qD\\wBDk@\\{B^uDd@uCZuCVaB|@uHl@cERqBb@_D`@{B\\iCN_Bn@mE`@yDp@oEFKX_CTyBn@{DFq@\\yBZmC@_@Kg@W_@]I[?q@Ke@Ck@]g@QOO?IV}BXmBRm@\\s@DIPGh@@N}@Ng@J{@Lk@Zs@R?p@HlAD^FPT?l@SbAMbBMv@KrA]hBGn@GnAGb@Oh@QpACd@[pBQpAUdCDp@Aj@gAxHKbAaArGUrBKrACp@a@pBGt@y@xFMj@M^ETI`A_@hCKdA[fBc@fDa@pDMn@Sh@]hCMj@_@zCm@xDyAvKWtASpAa@zD_@hBiD~V_@fCMf@QjBWlBQx@@TBBPHf@H`@LJb@Y`BYdCg@fCKNM@m@S[SGSAS^mENeAJUXyBXoCN}@Dm@\\eBVeCh@oDTk@PsBJy@h@mDFYPwAN{@LsAN{@f@mDJi@Di@Lg@vA{K`@uBNyAJqALw@b@uFf@aDT_ALq@VsBXoCPeAR}BNs@XeBh@uC`@{DRgAb@_DPqBTkB^sBRsBZeBLcALq@d@eDd@mETgB@mAMm@?m@Bs@ZeC"",""resource_state"":2}",,,,,everyone,,g5347208,,3992885433,3.379,6.3,82.4,40,1,159.4,189,,1,81.8,77.4,0,0,,74
2,"{""id"":23132727,""resource_state"":1}",Easy Run,16831.2,4769,4821,57,Run,0,3733910988,garmin_push_5208505669,3988105941,2020-07-08T20:25:41Z,2020-07-08T16:25:41Z,(GMT-05:00) America/Toronto,-14400,"[43.20982,-79.598251]","[43.209943,-79.59823]",,,Canada,43.20982,-79.598251,4,3,0,1,0,"{""id"":""a3733910988"",""summary_polyline"":""klvfGbpydNJCFa@I_A?qAIWEe@@qAKiB@k@D]DEb@OrCCxAQxGClC[nABfCSxCCh@MCKB_@h@QbDBpAWfDLx@LtC`Ab@E?ZPHzJ|ClDxAhFzAdAd@jH|BHwFLoCAaAViFFmDJmBIiAD{AIkB@aCIo@IqCM{AGI?}@L{AZuAFs@Es@@g@X{@@SIQ@Wb@}BBqBFk@Nm@TgCDyDLu@FyBEm@MS?_@Du@Ly@NeBGiB@i@Le@EwCHa@@a@KaBPuA?i@TyAC_BLy@JwAJaB?y@XoAJ{ACsCPkDAcB[oB?c@P}AMwBJmAO_DJm@GqBZmB[oDD{BHy@KaBTeAAs@f@iDNa@Zc@Le@Js@DsAHm@Va@DCBHFSTcCJc@FgAKwBo@oAYu@e@o@Ic@FY|B}DhAmCvBkI\\gCX_Ar@sERu@?i@Vm@`@gCb@{AZ{AAk@\\cBb@}CJuAXaBPs@ZoCt@uEV{BPs@hAaHH_AZ{An@mETy@AQj@gEDo@j@uECsAJqA`@kBb@aEZiA`@oEXw@Ls@RwBd@oB\\iCj@yCd@}C^cH@aCToKNaCPiGC{ABq@CMyBk@}@o@sBe@uAm@e@I_EgBkCaAg@c@g@?qBy@oBmAm@GuBo@gAKwCkAUT_@zE]~Ai@~Du@rDq@pEQd@YvA[xBQ`CeAdFo@jDEp@aAlGKr@UnDOt@_@|Ck@hDIfA{@~F_AbIg@nAOjCWfBUt@a@~@}AhC{AtBcBrC]TU\\{@vDi@dEO`BU`As@~E]hDm@dEi@nE_@~DMl@m@lFs@hELVjAl@rClBIhBWfCo@|DOb@m@Ky@_Ag@[]]a@w@}AwBgAq@mAgA{@cAcBuA_@c@eAo@c@OSJO\\g@zBsAnEw@|CyAzGO`BKd@Q`Ba@jCEp@{@jEKvAHThBf@JN@N@d@a@fDe@~CQpBSjACt@NvBb@xCAbBMp@@r@r@xGFhALvC`@~@JfA?j@T~Al@t@vC~@^^]zCSZg@E[HGd@?h@Jv@FlBZdBZr@j@N^XDX_@nDYnA]xBIp@@PLZd@TdBRhAf@\\\\Hn@eBpKOj@aAbIs@hDqCpRe@|BgCjJg@tCyAzKw@hCs@dAeAfAi@`@u@DiE`Aa@Tm@j@u@xAc@lBWjBGbAC`ALzGEpC"",""resource_state"":2}",,,,,everyone,,g3829394,,3988105941,3.529,5.1,83.1,34,1,154.6,173,,1,98.4,76.2,0,0,,90
2,"{""id"":23132727,""resource_state"":1}",Easy Run w/ Strides,11510.7,3247,3381,37,Run,0,3729004863,garmin_push_5203512860,3982755346,2020-07-07T20:16:53Z,2020-07-07T16:16:53Z,(GMT-05:00) America/Toronto,-14400,"[43.209945,-79.59825]","[43.210136,-79.598944]",,,Canada,43.209945,-79.59825,1,1,0,2,0,"{""id"":""a3729004863"",""summary_polyline"":""cmvfG`pydNHa@EQAiAIaBGoHBgAPqAl@sBb@s@h@k@^Yz@c@tAUbAYf@Q`@SXUfAoAz@eBd@qATcADw@XwAXmC|@_Gr@aDLa@Lq@|@qCBWp@mDL_@t@kGLs@PsARqAJi@PaB`@{CLg@ZuBTeAXyBp@qDZkAHg@?EM[kA[o@I}@Uc@UY]CSHeAB]Nm@Hw@\\uCHqAE_@CEq@Q[WOYO{@c@sFBw@Ra@ZEh@FLAHGRkA@cAGSEC_D}@e@[Uk@Qk@E[Co@MeAO[o@cC?}@OeC]yDM}@AeAJqBI{@EgAIs@C}@G_ARaCv@yDR}BTaBDs@EUCEkBa@W]@c@Nu@f@uCDq@h@kDPo@F_AHa@LoADs@n@sDRu@Vs@BU\\kAl@_Bp@qBv@gDR_@d@Mf@Nr@\\f@`@n@ZhAv@xAxAfA|@Zd@HR~AtAXd@^\\RT`@Z\\d@t@z@TAR}AJkDLwADQTWf@Bh@^bBpAVV`B|@bAFzBzAjAl@pAx@dCbBf@d@^PZ\\`@t@t@z@ZVfAlArCnDNJlAlAB@H?TY\\IXPp@`AHRTr@Hl@Ft@EpBg@zCIZUrBe@~F]jBc@hAElAGl@Bp@L`AHbBG|@?l@It@An@UpAAtAEj@EXCp@@h@UbB?t@Bf@?r@Nv@R~BHTNtB@x@?p@[`D?`AKp@EbDK|@GdB?n@IdA@~@InACnCI`AMt@Er@Dx@Cb@?xAH`AUzF?dAG|B?xAI`BSbCGjCIt@G|BGp@EdD@fBCr@AjAMdBMp@B|A?RGj@Ax@F|CAh@M|AE`CE^EnBEPAb@Bb@Ch@E`AGd@CbBOtB@h@WnFG`EQh@k@UOKaBS}Be@_@Gg@OcAI_@S]UyBaAq@Mq@]s@K_@QqA_@y@_@s@Qe@U][_@O{@YMIw@SWAQMeA]eAM]Si@MyCGI@y@XQ@m@M_BCY@iAT[p@WHi@Fo@BkARg@@WAo@Dg@Gw@Du@?]DsADe@AcADi@H]Lk@Di@Gy@?]Es@Ha@PArAMn@?f@HdAD`BAvAI`AIp@Qt@EBCEO@BZe@tEa@fCUhBAVQ~@TsC@c@PmARi@D]`@uDHg@"",""resource_state"":2}",,,,,everyone,,g3915267,,3982755346,3.545,6.7,83.1,34,1,156.1,172,,1,100.6,77.4,0,0,,65
2,"{""id"":23132727,""resource_state"":1}",Easy Run,13035.3,3699,3726,41,Run,0,3723965438,garmin_push_5198454306,3977261195,2020-07-06T20:17:33Z,2020-07-06T16:17:33Z,(GMT-05:00) America/Toronto,-14400,"[43.210163,-79.598452]","[43.210135,-79.59853]",,,Canada,43.210163,-79.598452,1,3,0,1,0,"{""id"":""a3723965438"",""summary_polyline"":""onvfGjqydNFFBP?z@IpBMh@Er@UdBMp@K\\C^c@nDKpA}@|G]rB{AxKI|@QbAUbCw@|EA`B[bBYdCWrA]`C?t@FN`@RjAVvBl@`L~D`Bb@`Bj@n@LdAf@l@LxAh@zA`@fDjAj@Vx@HhBl@NNx@Pt@VP@FEV{Ah@sAnBiEj@gAlBkEdBkDp@}ARY\\}@|D{Hr@{@`B}AhAyAhCoC|BqC|AcBzAgBdAyAvAyA`@g@`@q@\\mBHs@Bu@\\uCNyBd@uD@g@No@BcA`@oDFuAD{CDi@CUHsAAQLcAF{@A_@Fe@No@DaB?_ABk@?_BDeAJ_AE}@H}AIm@@mBDm@Ha@Bw@K_B@eAAwAPuDCy@Bc@LgBF{BFu@BkACo@LcADwAPgB@u@EcCJoBI}DFm@@oABw@DYKwDFqCFs@b@u@Js@?sADkA`@kCBsAGY?GLe@Fo@Ci@?qBDw@KmA?o@DwAHaAHc@RyCAMB]F_@Ai@BYAe@@YMc@AkAD[Oa@Bc@FQM_A[}ABe@G]Em@GQC]Bu@A_@Fw@BGDo@Co@N_CLu@Jw@Dy@?s@MqARoBLc@Ho@rAqHTeBAOVgAZkBFs@Cs@IaAOm@Sm@eAqAKLQf@e@Ya@m@aA{@gBoB_Au@UM]_@y@qAi@g@wA}@{@y@mBy@k@_@gAg@_@]iAy@g@WcAq@_A_Ac@O}@{@qA}@]]OKQ@MZIr@]xEIp@S|@CFI@QI_@]m@MyBiCq@eA{B_C_@e@m@g@yAwAqAaAmAs@OAWXUd@cAdDYt@}AzFOt@QhAU`Aa@|C[lBObB]nB}@|GEf@BDlB^PZ@d@s@rEWbC[|BO`BFnAXhBRvBAfAGh@?b@b@~DVrCJfDf@zBFb@FnAJp@Xx@HHxBj@nAj@@D?ROz@K|@Qj@k@D]JK\\Bt@Hf@HjAD|@Hv@Jl@^d@f@XV\\B`@K`AKr@u@tDMrBJX`@Pr@LvBj@JFJHFLHl@?Hc@fCMfAc@xCOzAmAbG}BhPg@rCm@jDg@zBcAdESl@_@xA_@~BsAzIk@dDq@dBeAzA_@ZwAdAg@Pu@Ci@VcAVa@RqAjA]l@Yr@[xAMjA?~@BbBRdD@j@IxCUbB"",""resource_state"":2}",,,,,everyone,,g3915267,,3977261195,3.524,5,82.5,35,1,156.3,170,,1,101.4,78.8,0,0,,78
2,"{""id"":23132727,""resource_state"":1}",Morning Run,17004,4699,4748,142,Run,0,3712558435,garmin_push_5187076533,3964812663,2020-07-04T13:43:03Z,2020-07-04T09:43:03Z,(GMT-05:00) America/Toronto,-14400,"[43.209565,-79.595689]","[43.210819,-79.598355]",,,Canada,43.209565,-79.595689,11,2,0,1,0,"{""id"":""a3712558435"",""summary_polyline"":""wjvfG``ydNbCK`BCzFArBKvAQr@?vBSpBEDC?EEc@@QFAlBMlCBp@Mn@ExBBp@Fx@Xv@NVT`AVR?PYHs@ReE\\kDNq@r@mAF_@@w@LaBfCkX@u@LcABu@h@wEp@uHLaADw@|@{HbAgNn@eF\\wEj@_Fj@oGf@uD^oBVoB^sEj@yDZ{CJq@h@{DHWZEbGdBdARh@RlALbA?BABKKeBAkHGmBGk@@Sb@uCDSd@kA`A{GJiAJY@{@h@aDFq@IqAIm@_AqBi@i@EO?SxByDt@_Bd@uAlAiELo@TaAL_Ad@sBh@oDPw@PeAh@yBLw@x@iET{BLq@TcBTuARq@FaA\\uChAsGTkBZuBVoAl@yEN{@f@oDVmA`AeHlB_LReBAMHg@Lo@H{@`@iBVoBZmBTuBd@yCj@oEZmBT{AJ_@RaAL}@@i@?aCJkCRmDC{A@iAFy@C{@LyBLm@RIl@JhDfAlBd@pAl@bDbAn@`@Rb@RLr@Nx@GhARn@V`@VxBv@d@FjAn@vElAtAv@lAVlEh@HDJTTXx@v@pAt@f@L\\IZSZG`@DHHBZIx@m@jAaAnA{@j@e@J_DpASLYXa@vBg@~Ec@tCOl@c@~CSdAa@xCWfA?Lm@jDcAnIKzAcG~b@MpAo@|DO`BIf@Yv@aApA]Nc@NU?k@GuA]_@JMZ[hBq@jDgClLWfBKjA?^w@|H[bBOzAWlEYrBI`AMd@wA\\qBr@sCt@qAJuACiBHk@AqANSHO?WPy@^SR]NuAtAeAl@_@\\kAxAi@d@u@Tg@Zq@DoAK_@FYAOKe@Ko@[y@S]Dk@lFUXWlAQjBOv@KzAAz@PtCG`BAnC@zBCrAArII~HBnBAr@UrFCjA]lFEbBIjAEfBBdAIv@YtJEj@?lCGv@KpDBnA]hIAvC]hJ?dAKbCB~@Ex@C|BSfDAz@Er@OjFCrA@|@IjDYjFI|@G`ACtABn@EnC@~@MtACv@Gb@SXc@Ai@YeAc@c@Ga@Qk@EsAe@aAg@_AQgCy@w@]e@Kg@[aBa@kAa@}@OcBcAqBg@aDgAe@K{@[q@Iw@Dm@Ck@HFGSJqEBCBD~@@_@i@Hq@A{CNqAPmAHqACkDR{B?y@TiCEuAFk@VQ`@Av@P`C@x@EfDGd@[\\c@ZUCy@i@SC"",""resource_state"":2}",,,,,everyone,,g5347208,,3964812663,3.619,5.4,83.9,34,1,163.6,193,,1,191.2,80.6,2,0,,135
2,"{""id"":23132727,""resource_state"":1}",Spring weather I miss you,7093.9,1978,1978,13,Run,0,3704501442,garmin_push_5178941230,3956067196,2020-07-02T19:13:32Z,2020-07-02T15:13:32Z,(GMT-05:00) America/Toronto,-14400,"[43.210173,-79.598938]","[43.21288,-79.601166]",,,Canada,43.210173,-79.598938,0,4,0,1,0,"{""id"":""a3704501442"",""summary_polyline"":""qnvfGjtydN[fBYfCA`@IJi@pEWrAm@vGkBtMg@hEqBtNg@bEKfA{@dGg@bEc@tC[tCo@dEGj@G~Au@vFQ|@q@tFs@rEw@xGSnAQp@In@I\\YtB[|CuAnIa@bDYvAaAhIEVGJMBa@ImAg@mAw@CGEk@LkABeAMo@MUW[]Uc@Q}Cs@u@SwAg@c@KOhAOR]DURo@`AYXy@`@iBd@_@Cc@WaBu@i@Ym@W]a@SmAIWSc@Is@K{B?iARoAhA}CRq@HUZc@H@Vv@Xl@^fAd@p@bApAp@Zv@T`@R^Ht@b@ZHf@ELBZV\\b@Pd@VZDNAPKX?FZBj@R`@Hf@Nd@D`@LrAb@^Xb@r@Xh@@`AEx@IbA@XDBXJ^Xd@Rn@Rf@FDK\\cCz@qHd@mCf@uDRcAPeBl@qDd@_E`BwLj@gDbAgIh@qDZwC|@cGJaA`@mCNwATiAHoAj@iD\\cCJaAj@wDzBqQ|AuKRoB\\uBT}B?OKUSMqEmAm@U_Bk@OQAI"",""resource_state"":2}",,,,,everyone,,g3915267,,3956067196,3.586,4.5,83.2,37,1,152,171,,1,82.4,77,0,0,,33
